Date,Product,Category,Quantity,UnitPrice,Region,Sales
2023-01-02,Laptop,Accessories,4,1227.0,South,4908.0
2023-01-03,USB Cable,Furniture,3,1431.0,South,4293.0
2023-01-03,Mouse,Accessories,8,354.0,North,2832.0
2023-01-04,USB Cable,Electronics,4,503.0,North,2012.0
2023-01-04,Desk Chair,Electronics,7,1321.0,East,9247.0
2023-01-05,USB Cable,Electronics,6,1080.0,South,6480.0
2023-01-05,Desk Chair,Electronics,13,1362.0,West,17706.0
2023-01-06,Headphones,Furniture,2,1057.0,West,2114.0
2023-01-06,Headphones,Accessories,5,1393.0,East,6965.0
2023-01-07,Keyboard,Accessories,2,107.0,South,214.0
2023-01-07,Keyboard,Accessories,4,68.0,North,272.0
2023-01-08,Desk Chair,Electronics,9,1310.0,North,11790.0
2023-01-09,Webcam,Furniture,3,373.0,South,1119.0
2023-01-09,Desk Chair,Furniture,9,819.0,West,7371.0
2023-01-10,Monitor,Furniture,6,474.0,West,2844.0
2023-01-10,Laptop,Electronics,12,532.0,West,6384.0
2023-01-10,USB Cable,Accessories,9,325.0,North,2925.0
2023-01-12,Laptop,Furniture,12,427.0,South,5124.0
2023-01-12,Keyboard,Accessories,9,291.0,West,2619.0
2023-01-13,Headphones,Electronics,14,1302.0,West,18228.0
2023-01-14,USB Cable,Electronics,9,863.0,South,7767.0
2023-01-14,USB Cable,Electronics,13,1293.0,West,16809.0
2023-01-14,Desk Chair,Electronics,2,731.0,East,1462.0
2023-01-15,USB Cable,Accessories,8,686.0,North,5488.0
2023-01-15,Keyboard,Furniture,14,1454.0,North,20356.0
2023-01-16,Laptop,Furniture,1,144.0,South,144.0
2023-01-17,Headphones,Furniture,14,966.0,North,13524.0
2023-01-17,Monitor,Electronics,2,1447.0,West,2894.0
2023-01-17,USB Cable,Accessories,1,1330.0,East,1330.0
2023-01-17,Headphones,Accessories,11,670.0,North,7370.0
2023-01-17,Desk Chair,Furniture,2,367.0,North,734.0
2023-01-19,Headphones,Electronics,5,713.0,South,3565.0
2023-01-19,Keyboard,Furniture,13,1220.0,West,15860.0
2023-01-21,USB Cable,Electronics,3,122.0,East,366.0
2023-01-22,Webcam,Accessories,10,163.0,South,1630.0
2023-01-22,Monitor,Furniture,5,235.0,East,1175.0
2023-01-24,Laptop,Furniture,4,553.0,South,2212.0
2023-01-24,Monitor,Furniture,5,331.0,South,1655.0
2023-01-26,Mouse,Electronics,8,1426.0,North,11408.0
2023-01-26,Keyboard,Electronics,2,1203.0,North,2406.0
2023-01-26,Mouse,Electronics,10,1063.0,West,10630.0
2023-01-27,Headphones,Furniture,14,871.0,West,12194.0
2023-01-27,USB Cable,Furniture,7,360.0,North,2520.0
2023-01-28,Laptop,Electronics,8,1006.0,East,8048.0
2023-01-28,Desk Chair,Accessories,2,1180.0,East,2360.0
2023-01-29,Webcam,Furniture,2,1038.0,West,2076.0
2023-01-29,Keyboard,Furniture,11,1257.0,West,13827.0
2023-01-29,Mouse,Electronics,8,736.0,East,5888.0
2023-01-30,Keyboard,Furniture,9,455.0,East,4095.0
2023-01-31,Monitor,Furniture,6,1480.0,West,8880.0
2023-01-31,Monitor,Accessories,13,91.0,East,1183.0
2023-01-31,Mouse,Accessories,5,1076.0,West,5380.0
2023-01-31,Laptop,Accessories,13,192.0,East,2496.0
2023-02-01,Mouse,Accessories,13,99.0,North,1287.0
2023-02-02,Desk Chair,Electronics,10,1232.0,East,12320.0
2023-02-02,Webcam,Furniture,6,911.0,North,5466.0
2023-02-03,Keyboard,Furniture,3,354.0,West,1062.0
2023-02-03,Mouse,Accessories,2,370.0,West,740.0
2023-02-03,Keyboard,Accessories,4,558.0,South,2232.0
2023-02-04,Laptop,Furniture,2,413.0,West,826.0
2023-02-04,Laptop,Furniture,6,1350.0,South,8100.0
2023-02-04,Webcam,Accessories,12,1332.0,South,15984.0
2023-02-05,Keyboard,Furniture,4,399.0,East,1596.0
2023-02-05,USB Cable,Furniture,1,1353.0,North,1353.0
2023-02-05,Headphones,Accessories,13,1218.0,West,15834.0
2023-02-06,Headphones,Accessories,8,430.0,West,3440.0
2023-02-06,Monitor,Accessories,2,1253.0,West,2506.0
2023-02-07,Desk Chair,Furniture,4,678.0,North,2712.0
2023-02-07,Keyboard,Electronics,13,564.0,North,7332.0
2023-02-09,Keyboard,Accessories,8,742.0,North,5936.0
2023-02-10,Headphones,Electronics,13,1414.0,North,18382.0
2023-02-10,Laptop,Furniture,12,183.0,West,2196.0
2023-02-11,Webcam,Accessories,11,774.0,North,8514.0
2023-02-12,Headphones,Furniture,12,810.0,North,9720.0
2023-02-12,Desk Chair,Furniture,5,1478.0,West,7390.0
2023-02-12,Laptop,Accessories,9,1018.0,South,9162.0
2023-02-12,Webcam,Accessories,5,312.0,West,1560.0
2023-02-13,USB Cable,Electronics,8,1266.0,North,10128.0
2023-02-13,Keyboard,Electronics,6,448.0,East,2688.0
2023-02-13,Monitor,Furniture,12,1132.0,North,13584.0
2023-02-13,USB Cable,Electronics,1,403.0,East,403.0
2023-02-14,Desk Chair,Electronics,3,115.0,West,345.0
2023-02-16,Monitor,Electronics,8,769.0,West,6152.0
2023-02-20,Keyboard,Furniture,13,871.0,East,11323.0
2023-02-20,Laptop,Accessories,6,575.0,West,3450.0
2023-02-21,Desk Chair,Electronics,10,1357.0,South,13570.0
2023-02-21,Headphones,Furniture,11,1181.0,North,12991.0
2023-02-22,Laptop,Accessories,10,1018.0,South,10180.0
2023-02-22,Monitor,Accessories,4,1142.0,West,4568.0
2023-02-26,Desk Chair,Accessories,1,1444.0,West,1444.0
2023-02-26,Laptop,Accessories,9,804.0,South,7236.0
2023-02-27,Mouse,Electronics,14,711.0,West,9954.0
2023-02-28,Monitor,Accessories,13,134.0,East,1742.0
2023-02-28,Laptop,Accessories,10,476.0,East,4760.0
2023-02-28,Desk Chair,Electronics,11,714.0,West,7854.0
2023-03-01,USB Cable,Accessories,9,697.0,West,6273.0
2023-03-03,Desk Chair,Electronics,13,51.0,West,663.0
2023-03-04,Webcam,Furniture,7,63.0,South,441.0
2023-03-05,Headphones,Furniture,2,1291.0,East,2582.0
2023-03-05,Webcam,Furniture,9,710.0,South,6390.0
2023-03-05,Headphones,Furniture,13,900.0,North,11700.0
2023-03-06,Monitor,Electronics,6,1066.0,West,6396.0
2023-03-06,Keyboard,Accessories,10,190.0,South,1900.0
2023-03-08,USB Cable,Furniture,10,843.0,South,8430.0
2023-03-08,Desk Chair,Electronics,11,916.0,North,10076.0
2023-03-09,Laptop,Accessories,1,336.0,West,336.0
2023-03-10,Mouse,Furniture,9,177.0,East,1593.0
2023-03-10,USB Cable,Accessories,5,1397.0,East,6985.0
2023-03-10,Desk Chair,Furniture,12,357.0,West,4284.0
2023-03-13,Headphones,Accessories,7,1434.0,West,10038.0
2023-03-13,Laptop,Furniture,1,116.0,East,116.0
2023-03-13,Mouse,Accessories,11,842.0,North,9262.0
2023-03-14,Mouse,Furniture,11,886.0,North,9746.0
2023-03-14,Mouse,Electronics,1,214.0,South,214.0
2023-03-19,Keyboard,Accessories,12,960.0,South,11520.0
2023-03-20,Laptop,Furniture,9,908.0,South,8172.0
2023-03-23,Mouse,Furniture,2,1248.0,North,2496.0
2023-03-23,Monitor,Accessories,3,302.0,West,906.0
