Date,Product,Category,Quantity,UnitPrice,Region,Sales
2023-01-02,Laptop,Accessories,4,1227,South,4908
2023-01-03,USB Cable,Furniture,3,1431,South,4293
2023-01-03,Mouse,Accessories,8,354,North,2832
2023-01-04,USB Cable,Electronics,4,503,North,2012
2023-01-04,Desk Chair,Electronics,7,1321,East,9247
2023-01-05,USB Cable,Electronics,6,1080,South,6480
2023-01-05,Desk Chair,Electronics,13,1362,West,17706
2023-01-06,Headphones,Furniture,2,1057,West,2114
2023-01-06,Headphones,Accessories,5,1393,East,6965
2023-01-07,Keyboard,Accessories,2,107,South,214
2023-01-07,Keyboard,Accessories,4,68,North,272
2023-01-08,Desk Chair,Electronics,9,1310,North,11790
2023-01-09,Webcam,Furniture,3,373,South,1119
2023-01-09,Desk Chair,Furniture,9,819,West,7371
2023-01-10,Monitor,Furniture,6,474,West,2844
2023-01-10,Laptop,Electronics,12,532,West,6384
2023-01-10,USB Cable,Accessories,9,325,North,2925
2023-01-12,Laptop,Furniture,12,427,South,5124
2023-01-12,Keyboard,Accessories,9,291,West,2619
2023-01-13,Headphones,Electronics,14,1302,West,18228
2023-01-14,USB Cable,Electronics,9,863,South,7767
2023-01-14,USB Cable,Electronics,13,1293,West,16809
2023-01-14,Desk Chair,Electronics,2,731,East,1462
2023-01-15,USB Cable,Accessories,8,686,North,5488
2023-01-15,Keyboard,Furniture,14,1454,North,20356
2023-01-16,Laptop,Furniture,1,144,South,144
2023-01-17,Headphones,Furniture,14,966,North,13524
2023-01-17,Monitor,Electronics,2,1447,West,2894
2023-01-17,USB Cable,Accessories,1,1330,East,1330
2023-01-17,Headphones,Accessories,11,670,North,7370
2023-01-17,Desk Chair,Furniture,2,367,North,734
2023-01-19,Headphones,Electronics,5,713,South,3565
2023-01-19,Keyboard,Furniture,13,1220,West,15860
2023-01-21,USB Cable,Electronics,3,122,East,366
2023-01-22,Webcam,Accessories,10,163,South,1630
2023-01-22,Monitor,Furniture,5,235,East,1175
2023-01-24,Laptop,Furniture,4,553,South,2212
2023-01-24,Monitor,Furniture,5,331,South,1655
2023-01-26,Mouse,Electronics,8,1426,North,11408
2023-01-26,Keyboard,Electronics,2,1203,North,2406
2023-01-26,Mouse,Electronics,10,1063,West,10630
2023-01-27,Headphones,Furniture,14,871,West,12194
2023-01-27,USB Cable,Furniture,7,360,North,2520
2023-01-28,Laptop,Electronics,8,1006,East,8048
2023-01-28,Desk Chair,Accessories,2,1180,East,2360
2023-01-29,Webcam,Furniture,2,1038,West,2076
2023-01-29,Keyboard,Furniture,11,1257,West,13827
2023-01-29,Mouse,Electronics,8,736,East,5888
2023-01-30,Keyboard,Furniture,9,455,East,4095
2023-01-31,Monitor,Furniture,6,1480,West,8880
2023-01-31,Monitor,Accessories,13,91,East,1183
2023-01-31,Mouse,Accessories,5,1076,West,5380
2023-01-31,Laptop,Accessories,13,192,East,2496
2023-02-01,Mouse,Accessories,13,99,North,1287
2023-02-02,Desk Chair,Electronics,10,1232,East,12320
2023-02-02,Webcam,Furniture,6,911,North,5466
2023-02-03,Keyboard,Furniture,3,354,West,1062
2023-02-03,Mouse,Accessories,2,370,West,740
2023-02-03,Keyboard,Accessories,4,558,South,2232
2023-02-04,Laptop,Furniture,2,413,West,826
2023-02-04,Laptop,Furniture,6,1350,South,8100
2023-02-04,Webcam,Accessories,12,1332,South,15984
2023-02-05,Keyboard,Furniture,4,399,East,1596
2023-02-05,USB Cable,Furniture,1,1353,North,1353
